variable,importance,importance_pct,rank,model
elevation,0.6240553148510701,62.40553148510701,1,random_forest
hmi,0.20702199541152744,20.702199541152744,2,random_forest
ndvi_mean,0.0934840957842575,9.34840957842575,3,random_forest
treecover2000,0.03802509128062585,3.802509128062585,4,random_forest
ndvi_trend,0.027040218997023916,2.7040218997023917,5,random_forest
inside_outside,0.009826010826159198,0.9826010826159198,6,random_forest
fire_frequency,0.0004401770221982259,0.04401770221982259,7,random_forest
forest_loss,8.476973613841734e-05,0.008476973613841735,8,random_forest
built_up,1.8021630844637056e-05,0.0018021630844637056,9,random_forest
cropland,4.3044601548025766e-06,0.00043044601548025767,10,random_forest
