model,n_observations,n_clusters,r_squared,adj_r_squared,f_statistic,f_pvalue,aic,bic,log_likelihood
counterfactual,49963,20,0.37103914434000207,0.3707746686993688,18.113365230501262,3.9604136357307365e-05,-70574.61368760192,-70380.59485137147,35309.30684380096
drivers,49963,20,0.25856963976315395,0.2584657460083415,52.40864781182973,4.2857803505928394e-11,-63526.16885357218,-63455.616549488375,31771.08442678609
